Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.993,0.011,Strict Comparison,simple
Persona Recall,0.993,0.011,Strict Comparison,simple
Persona F-Measure,0.993,0.011,Strict Comparison,simple
Entity Precision,0.223,0.043,Strict Comparison,simple
Entity Recall,0.413,0.08,Strict Comparison,simple
Entity F-Measure,0.289,0.053,Strict Comparison,simple
Action Precision,0.285,0.042,Strict Comparison,simple
Action Recall,0.804,0.088,Strict Comparison,simple
Action F-Measure,0.419,0.054,Strict Comparison,simple
Persona Precision,0.994,0.011,Inclusion Comparison,simple
Persona Recall,0.993,0.011,Inclusion Comparison,simple
Persona F-Measure,0.994,0.011,Inclusion Comparison,simple
Entity Precision,0.226,0.042,Inclusion Comparison,simple
Entity Recall,0.418,0.08,Inclusion Comparison,simple
Entity F-Measure,0.292,0.052,Inclusion Comparison,simple
Action Precision,0.285,0.042,Inclusion Comparison,simple
Action Recall,0.805,0.087,Inclusion Comparison,simple
Action F-Measure,0.42,0.054,Inclusion Comparison,simple
Persona Precision,0.993,0.011,Relaxed Comparison,simple
Persona Recall,0.993,0.011,Relaxed Comparison,simple
Persona F-Measure,0.993,0.011,Relaxed Comparison,simple
Entity Precision,0.3,0.051,Relaxed Comparison,simple
Entity Recall,0.553,0.083,Relaxed Comparison,simple
Entity F-Measure,0.387,0.057,Relaxed Comparison,simple
Action Precision,0.312,0.04,Relaxed Comparison,simple
Action Recall,0.881,0.072,Relaxed Comparison,simple
Action F-Measure,0.459,0.05,Relaxed Comparison,simple
